video_genres,video_level,video_title,video_url,video_year,release_date
Action Crime Drama TV Series ,"TV-14
                        
    
, 
,",Chicago P.D.,https://www.imdb.com/title/tt2805096/,,2014– )
Drama Romance Episode aired ,"TV-PG
                        
    
,",Episode #1.7356,https://www.imdb.com/title/tt1659792/,,9 June 2010
Comedy Music Talk-Show Episode aired ,"TV-14
                        
    
, 
,",Episode #7.52,https://www.imdb.com/title/tt1767128/,,17 November 2010
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.11,https://www.imdb.com/title/tt8422660/,,2019
Documentary Music TV Special ,",",Michael Jackson: 30th Anniversary Celebration,https://www.imdb.com/title/tt0301614/,2001,13 November 2001
Action Adventure Fantasy,", 
,",The Sea Beast,https://www.imdb.com/title/tt0017354/,1926,15 January 1926 U SA)
Horror,Unrated,Sleepaway Camp IV: The Survivor,https://www.imdb.com/title/tt0303058/,1992,1992 U SA)
Comedy Talk-Show Episode aired ,",",Episode #2.9,https://www.imdb.com/title/tt6459556/,,22 January 2017
Horror Mystery Thriller Episode aired ,"TV-MA
                        
    
, 
,",Souls on Ice,https://www.imdb.com/title/tt4289380/,,23 October 2015
Action Drama Episode aired ,"TV-14
                        
    
,",A Taste of Panama City,https://www.imdb.com/title/tt4986940/,,20 October 2015
Crime Drama Thriller TV Series ,"TV-MA
                        
    
, 
,",Breaking Bad,https://www.imdb.com/title/tt0903747/,,2008–2013)
Action Adventure Drama Episode aired ,"TV-PG
                        
    
, 
,",Best Laid Plans,https://www.imdb.com/title/tt7183090/,,26 January 2018
T V Special ,,The 37th Annual Primetime Emmy Awards,https://www.imdb.com/title/tt0802934/,1985,22 September 1985
Reality-T VEpisode aired ,TV-14,Fashion and Fighting,https://www.imdb.com/title/tt1634253/,,25 March 2010
Comedy Episode aired ,,Halloween III: Season of the Witch,https://www.imdb.com/title/tt3462080/,,27 October 2011
Comedy Crime Thriller,"R
                        
    
, 
,",Serial Mom,https://www.imdb.com/title/tt0111127/,1994,13 April 1994 U SA)
Horror Thriller,"R
                        
    
,",Fright Night,https://www.imdb.com/title/tt0089175/,1985,2 August 1985 U SA)
Action Drama Episode aired ,"TV-14
                        
    
,",Forgive You Anything,https://www.imdb.com/title/tt4498814/,,10 March 2015
Drama Romance Episode aired ,"TV-PG
                        
    
,",Episode #1.7357,https://www.imdb.com/title/tt1661524/,,9 June 2010
Comedy Music Talk-Show Episode aired ,"TV-14
                        
    
, 
,",Episode #7.53,https://www.imdb.com/title/tt1768448/,,18 November 2010
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.12,https://www.imdb.com/title/tt8422664/,,2019
Documentary Biography Music,"R
                        
    
, 
,",Whitney,https://www.imdb.com/title/tt5740866/,2018,5 July 2018 U K)
Drama TV Movie ,,Moby Dick,https://www.imdb.com/title/tt0239652/,1954,16 May 1954
Comedy Horror,"R
                        
    
,",Sleepaway Camp II: Unhappy Campers,https://www.imdb.com/title/tt0096118/,1988,28 February 1988 U SA)
Comedy Talk-Show Episode aired ,",",Episode #2.10,https://www.imdb.com/title/tt6466202/,,23 January 2017
Horror Mystery Thriller Episode aired ,"TV-MA
                        
    
, 
,",The House in the Woods,https://www.imdb.com/title/tt4296020/,,23 October 2015
